,Word,Count
35,مستشفي,3242
36,التخصصي,1478
14,المستشفي,1190
676,المرضي,1132
377,المريض,1006
316,الدكتور,895
118,موعد,872
1587,شكرا,802
550,المواعيد,640
779,قسم,614
0,دكتور,524
110,الحبيب,499
1004,يتم,459
19854,فيصل,457
172,خدمه,439
882,ساعه,434
147,يرد,431
793,عندكم,429
113,للاسف,417
646,الساعه,409
613,شي,402
54,الطبي,394
294,الصحه,382
7,عمليه,371
446,وانا,364
221,فرع,363
12870,فهد,359
276,شكوي,358
432,الطبيه,356
1526,الاطباء,350
143,سيئه,345
792,الخدمه,339
209,افضل,339
210,العلاج,339
70,المستشفيات,330
356,يوجد,328
8329,خالد,320
590,الحمادي,319
1051,الاستقبال,316
1139,الطبيب,314
2094,دله,310
1662,خير,309
11131,عرفان,307
207,علاج,303
1154,تعامل,302
1124,التعامل,286
1262,الطوارئ,281
95,مريض,268
445,ونعم,261
349,تجربه,257
784,رد,256
787,الرد,254
983,الموعد,254
865,الصحيه,253
1430,ممتاز,253
1016,المراجعين,248
915,حل,248
610,رقم,242
654,عندي,241
811,الناس,238
28,العمليه,238
525,الانتظار,237
1002,سيء,233
3070,المانع,233
146,اتصل,231
4733,الشكر,227
3005,عبدالعزيز,222
1297,مواعيد,220
447,لله,220
705,منكم,212
1946,التواصل,212
6751,لكل,209
53,اداره,206
66,اتمني,203
459,طبي,202
78,وقت,202
517,شهر,202
426,مرضي,201
567,مافيه,199
141,خدمات,198
830,مافي,197
288,طبيب,196
820,وعدم,194
586,انتظار,194
950,صرف,194
374,وكل,192
1574,حاله,192
899,الصيدليه,190
319,عياده,187
1201,محد,187
293,وزاره,187
390,بالرياض,186
1100,الرياض,185
183,مستشفيات,185
159,اسبوع,185
284,طريق,183
1485,محمد,182
2441,الحمد,181
803,معي,180
2142,القلب,180
208,اخر,179
1661,بكل,177
343,الاتصال,176
230,الوكيل,173
15,وتم,172
631,يقول,165
1312,مدير,163
861,لايوجد,162
1358,والي,161
2,مشكله,161
233,للعيون,160
756,عندهم,160
1978,الادويه,159
1217,لديكم,158
655,عمل,158
600,العيادات,156
821,احترام,156
337,استقبال,155
801,كبير,155
799,بمستشفي,153
623,انتظر,153
3445,بالدمام,153
1283,العمل,152
1786,ساعات,151
1047,لازم,151
1343,الاهتمام,151
310,الحرس,149
718,اطباء,148
21753,جهودكم,148
1131,قمه,147
1571,الدكتوره,146
1714,٣,145
2647,رائع,145
1747,ليش,144
318,عنده,144
1726,ارجو,143
1431,بالمستشفي,143
248,حق,142
3178,الدمام,142
