,Word,Count
35,مستشفى,3017
36,التخصصي,1465
14,المستشفى,1131
680,المرضى,1071
379,المريض,1006
318,الدكتور,895
119,موعد,874
1600,شكرا,802
552,المواعيد,640
784,قسم,614
0,دكتور,524
111,الحبيب,499
1010,يتم,459
19979,فيصل,457
174,خدمه,439
887,ساعه,435
148,يرد,431
798,عندكم,429
114,للاسف,417
649,الساعه,409
616,شي,401
55,الطبي,393
296,الصحه,382
7,عمليه,371
448,وانا,364
223,فرع,363
12951,فهد,359
434,الطبيه,356
1539,الاطباء,350
278,شكوى,348
144,سيئه,345
212,العلاج,339
211,افضل,339
797,الخدمه,339
71,المستشفيات,330
358,يوجد,328
8379,خالد,320
1059,الاستقبال,316
593,الحمادي,315
1147,الطبيب,314
2113,دله,310
1676,خير,309
11201,عرفان,307
209,علاج,303
1162,تعامل,302
1132,التعامل,286
1271,الطوارئ,281
96,مريض,268
447,ونعم,261
351,تجربه,257
789,رد,256
792,الرد,255
989,الموعد,254
1442,ممتاز,253
870,الصحيه,253
1022,المراجعين,249
920,حل,248
613,رقم,242
28,العمليه,238
816,الناس,238
527,الانتظار,237
657,عندي,236
3096,المانع,233
147,اتصل,231
1008,سيء,230
4767,الشكر,228
592,مستشفي,226
3031,عبدالعزيز,222
449,لله,220
1307,مواعيد,220
709,منكم,212
1964,التواصل,212
6793,لكل,209
54,اداره,206
79,وقت,202
519,شهر,202
461,طبي,201
569,مافيه,199
142,خدمات,198
835,مافي,197
67,اتمنى,196
290,طبيب,196
955,صرف,194
588,انتظار,194
825,وعدم,194
376,وكل,192
1587,حاله,192
904,الصيدليه,190
295,وزاره,187
1209,محد,187
321,عياده,187
392,بالرياض,186
161,اسبوع,185
185,مستشفيات,185
1108,الرياض,185
286,طريق,183
43,اني,182
1497,محمد,182
2463,الحمد,181
2162,القلب,181
210,اخر,179
1675,بكل,177
345,الاتصال,176
677,مرضى,176
808,معي,175
232,الوكيل,173
15,وتم,172
634,يقول,165
1322,مدير,162
866,لايوجد,162
2,مشكله,161
761,عندهم,160
235,للعيون,160
1996,الادويه,159
658,عمل,158
1225,لديكم,158
826,احترام,156
603,العيادات,156
339,استقبال,155
806,كبير,155
626,انتظر,153
3473,بالدمام,153
1293,العمل,152
1354,الاهتمام,151
1801,ساعات,151
1055,لازم,151
312,الحرس,149
722,اطباء,148
21892,جهودكم,148
1139,قمه,147
1584,الدكتوره,146
1729,٣,145
2671,رائع,145
804,بمستشفى,145
320,عنده,144
1762,ليش,144
1741,ارجو,143
250,حق,142
2315,الدواء,142
356,خاص,142
3205,الدمام,142
510,طلب,139
2528,المشكله,139
2624,الخدمات,139
1743,النظر,139
1787,بالله,138
558,موظف,137
1214,يعقل,137
16972,المدينه,136
11213,بجده,135
3137,الخبر,135
384,ورحمه,134
49,سليمان,133
1792,تبارك,133
1369,والى,132
684,الموظفين,132
10,كورونا,131
2065,للمرضى,131
745,طبيه,130
1392,اهتمام,130
162,وللاسف,129
75,عليهم,128
3741,بارك,128
1443,بالمستشفى,128
1404,سيئ,128
11845,الريان,127
168,وجود,127
2514,حجز,127
539,وين,127
3644,شيء,127
663,ايش,126
895,الحاله,125
34263,شكر,124
329,كنت,124
3985,بالخدمات,124
215,لمستشفى,123
10272,جده,123
14099,الوطني,122
29,رغم,121
2668,للمستشفى,120
624,التامين,120
1035,خارج,120
4035,الاطفال,120
4376,العظيم,120
1507,للمريض,117
3462,التطبيق,117
6485,الصرح,117
344,مركز,116
132,يقولون,116
1591,رساله,116
3097,الاسنان,114
32,منهم,114
943,لمن,114
1730,شهور,114
6233,حسن,114
205,وبعد,113
3045,للدكتور,113
951,اسوء,113
7649,العافيه,112
1242,الاداره,112
635,طيب,112
2338,الخاص,112
164,العنايه,111
195,ملف,111
385,وبركاته,111
9387,العيون,111
580,معكم,111
836,فيكم,111
568,ليه,110
1794,اسبوعين,109
3837,الصحي,109
687,لماذا,109
3478,الرقم,108
2549,العياده,107
1642,مستوى,107
70,موظفين,107
121,احاول,106
343,العلم,106
3271,العام,105
404,ممكن,105
937,علاقات,105
1783,الاشعه,105
4212,ادويه,105
6161,سعد,105
5572,طاقم,104
667,اسوا,104
330,الممرضات,103
1266,الطاقم,102
622,دقيقه,102
118,ابي,102
1611,طوارئ,101
712,احجز,101
33,امي,101
1248,وانتم,100
713,السويدي,100
2831,العاملين,99
1956,الدكاتره,99
2334,اسال,99
2250,علما,98
2020,انكم,97
1575,يحتاج,97
11824,زراعه,97
3308,بقسم,97
1480,تقرير,96
20306,دومه,95
1832,ساعتين,95
34290,والتقدير,95
3140,علينا,95
468,يعمل,95
3885,اشهر,94
2456,دكتوره,94
1187,استشاري,94
908,سوء,93
173,تقديم,93
630,علشان,93
666,فعلا,93
1994,اهمال,92
3787,ولله,92
551,غرفه,92
4313,دائما,91
4497,والدكتور,91
2441,فتره,90
1705,الرعايه,90
1250,مراجعه,90
936,اتواصل,89
3055,متابعه,89
193,الجامعي,88
1043,ياليت,87
1569,يومين,87
984,المدير,87
961,موجود,87
1226,تطبيق,87
2403,معامله,86
1320,عبدالله,86
2820,لخدمه,86
11941,رائعه,86
4691,احمد,85
86,وضع,85
104,الواحد,85
1750,موعدي,85
14918,اشكر,85
1914,فاشل,84
1561,ونص,84
1048,الخاصه,84
744,رعايه,83
1237,اسمه,83
3697,التمريض,83
3894,المواساه,83
2455,والان,82
352,معهم,82
1951,التنويم,82
16958,مغربي,82
3538,عاليه,82
5319,مدينه,82
333,وعند,81
337,السعوديه,81
785,مرات,81
1963,سرعه,80
529,وحده,80
407,رفع,79
7018,وشكرا,79
2427,مكان,79
10288,لجميع,79
1718,الطواري,78
500,الدم,78
189,سبب,78
1370,تجاوب,78
617,العليا,78
2220,شخص,78
689,نظام,78
633,اتصال,77
117,كثير,77
2297,ادخل,76
1500,الدخول,76
614,الملف,76
702,النزهه,76
416,بحجه,75
1224,زي,75
2654,المراجع,75
267,اشعه,74
4723,الوطن,74
17451,النور,74
922,دواء,74
26,رفض,73
3,والدتي,73
1668,بنتي,73
2359,الولاده,73
7339,نجاح,73
44,طلبت,73
208,اجد,72
