tweet,label1,label2,label3,finalLabel,sector
@tfrabiah دكتور اعاني من مشكله والدتي كبيره في العمر وقرر لها عمليه استأصال مراره قبل كورونا يوم 13شعبان وتواصل معانا المستشفى وتم التاجيل الان الوالده وضعها حرج جدا تواصلت معاهم قالو نستقبلها طوارى احضرتها وتم رفض اجراء العمليه رغم كل التقارير الصادره منهم امي بتموت💔 مستشفى التخصصي بجده,-1,-1,-1,-1,private
@SaudiMOH مستشفى عبيد التخصصي لا يجري اي تدابير وقائية لدرجة اني طلبت منهم كمام واحد ماعطوني كل واحد يرميني للثاني .  @Obaid_Hospital,-1,-1,-1,-1,private
@Ahmed_S_Alrajhi يابو سليمان ليتك تجي تشوف التسيب من ادارة مستشفى التخصصي الطبي ماهم مهتمين بخصوص الفايروس وصاروا يقلصون المعقمات و مانعين الاجازات و دوام اجباري اتمنى تنظرون بوضع موظفين المستشفيات الاهلية اتمنى تشدد الرقابة عليهم وشكرا,-1,-1,-1,-1,private
في مستشفى الموسى التخصصي @almoosahospital ينتهي وقت الزيارة ومازلت تنتظر المصعد يوصل 🧐  اقترح وضع سرير بدل كراسي الانتظار  @1sport_news  @SaudiMOH   @tfrabiah  https://t.co/pLcgj9zEYc,-1,-1,-1,-1,private
@SaAskExp نصيحتي لك اهرب مستشفى متهالك تدخل متعافي تطلع مريض + كل اعلانتهم وهمية انا بنفسي رحت لهم على اساس انها ب 6000 قالي لا الصدر الواحد ب 6000 مين بيسوي واحد وبيخلي واحد + حتى التكميم اعلانتهم وهمية نصيحتي لك رح مستشفى الحبيب او التخصصي وابحث عن دكتور كويس,-1,-1,-1,-1,private
"@amaljebreen @dr_alobailan مستشفى سليمان الحبيب التخصصي ، لكن للاسف مواعيده بعيده كثييير ، انا ابي موعد وجالسه احاول لكن مافيه",-1,-1,-1,-1,private
@SaudiMOH @SaudiMOH فوضى واستهتار في مستشفى الحبيب التخصصي ( حالتي ايرجنت وطوارىء ) ويعملون لي تحايل لل MRI ويوم وصلت يقولون لي ضاعت التحاليل وتكنسل موعدك !!!!! وعادي متعاملين مع الموضوع كانه ما يعنيهم .. @HMG,-1,-1,-1,-1,private
@HMG للاسف مستشفى الحبيب التخصصي خدمات المختبر جدا سيئة نتائج ناقصة اتصل على المختبر وليس هناك من يرد. تجاهل من قبل المشرف على المختبر,-1,-1,-1,-1,private
@HMG_Care @OkYVIJuOXsnQUE9 @HMG @HMG_Obesity السلام عليكم انا منوم في مستشفى سليمان الحبيب التخصصي ولم ياتو بوجبه العشاء مع اني دافع رسوم المرافق,-1,-1,-1,-1,private
@riyadhhealth خرجت والدتي من مستشفى سليمان الحبيب التخصصي بعد تنويم حوالي اسبوع وللأسف لم تتلقى العناية اللازمة حيث مازالت لديها وجود اعراض نفس المرض .  والطبيب يفيد انه لا يمكن تقديم أي خدمة علاجيه لها,-1,-1,-1,-1,private
